file_path,line_number,hardcoded_literal,match_category,proposed_alias,confidence,auto_fixable,manual_review_required,severity_risk,context,runtime_executed,generated_or_archive,docs_reference_only,intentional_example,triage_class,canonical_source
tools\auto_parse.toml,9,C:\WoW\_retail_\Cache\ADB\enUS,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,adb_cache_dir = 'C:\WoW\_retail_\Cache\ADB\enUS'  # External path stays absolute,No,No,No,No,runtime_defer,Yes
tools\chatgpt_studio_orientation.md,8,C:\Users\atayl\VoxCore\`,Absolute Path,VOXCORE_ROOT,High,No,No,Low,4. **Any other sub-project or tool** stored anywhere inside `C:\Users\atayl\VoxCore\`,No,No,Yes,No,docs_reference_only,Yes
tools\chatgpt_studio_orientation.md,20,C:\Users\atayl\VoxCore\AI_Studio\`.,Absolute Path,VOXCORE_ROOT,High,No,No,Low,The user has a physical folder on their hard drive: `C:\Users\atayl\VoxCore\AI_Studio\`.,No,No,Yes,No,docs_reference_only,Yes
tools\claude_code_handover.md,6,C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\PacketLog\timeline.txt`,Absolute Path,VOXCORE_ROOT,High,No,No,Low,1. Read `C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\PacketLog\timeline.t,No,No,Yes,No,docs_reference_only,Yes
tools\claude_project_bootstrap.md,4,C:\Users\atayl\VoxCore\`,Absolute Path,VOXCORE_ROOT,High,No,No,Low,"The user has initialized the `/AI_Studio/Projects/` hierarchy, but the physical folders for `idTIP`,",No,No,Yes,No,docs_reference_only,Yes
tools\claude_project_bootstrap.md,13,C:\Users\atayl\VoxCore\AI_Studio\Projects\DiscordBot\Z_SourceCode`,Absolute Path,VOXCORE_ROOT,High,No,No,Low,"2. Once you find its master folder, generate a Windows Directory Junction (`mklink /J`) inside `C:\U",No,No,Yes,No,docs_reference_only,Yes
tools\claude_project_bootstrap.md,16,C:\WoW\_retail_\Interface\AddOns\idTIP`,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,1. This is a World of Warcraft Addon. Search inside `C:\WoW\_retail_\Interface\AddOns\idTIP` (or whe,No,No,Yes,No,docs_reference_only,Yes
tools\claude_project_bootstrap.md,17,C:\Users\atayl\VoxCore\AI_Studio\Projects\idTIP\Z_SourceCode`,Absolute Path,VOXCORE_ROOT,High,No,No,Low,2. Generate a Windows Directory Junction (`mklink /J`) inside `C:\Users\atayl\VoxCore\AI_Studio\Proj,No,No,Yes,No,docs_reference_only,Yes
tools\claude_project_bootstrap.md,20,C:\WoW\_retail_\Interface\AddOns\TongueAndQuill`,Absolute Path,TQ_ROOT,Medium,No,No,Medium,1. This is a World of Warcraft Addon. Search inside `C:\WoW\_retail_\Interface\AddOns\TongueAndQuill,No,No,Yes,No,docs_reference_only,Yes
tools\claude_project_bootstrap.md,21,C:\Users\atayl\VoxCore\AI_Studio\Projects\TongueAndQuill\Z_SourceCode`,Absolute Path,VOXCORE_ROOT,High,No,No,Low,2. Generate a Windows Directory Junction (`mklink /J`) inside `C:\Users\atayl\VoxCore\AI_Studio\Proj,No,No,Yes,No,docs_reference_only,Yes
tools\claude_studio_sync.md,7,"C:\Users\atayl\VoxCore\tools\`,",Absolute Path,VOXCORE_ROOT,High,No,No,Low,"The user is tired of hunting across `C:\Users\atayl\VoxCore\tools\`, `\wago\`, `\sql\`, and `\doc\` ",No,No,Yes,No,docs_reference_only,Yes
tools\claude_studio_sync.md,7,C:\Users\atayl\VoxCore\AI_Studio\`.,Absolute Path,VOXCORE_ROOT,High,No,No,Low,"The user is tired of hunting across `C:\Users\atayl\VoxCore\tools\`, `\wago\`, `\sql\`, and `\doc\` ",No,No,Yes,No,docs_reference_only,Yes
tools\claude_studio_sync.md,20,C:\Users\atayl\VoxCore\`.,Absolute Path,VOXCORE_ROOT,High,No,No,Low,The user is simultaneously developing dozens of projects scattered across `C:\Users\atayl\VoxCore\`.,No,No,Yes,No,docs_reference_only,Yes
tools\claude_studio_sync.md,24,C:\Users\atayl\VoxCore\AI_Studio\Projects\[NewProjectName],Absolute Path,VOXCORE_ROOT,High,No,No,Low,"If ChatGPT gives you a spec for a project that doesn't have a folder yet, **you must create one:** `",No,No,Yes,No,docs_reference_only,Yes
tools\claude_sync_update.md,14,C:\WoW\_retail_\`,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,- `auto_parse` has been upgraded to automatically rip files directly out of the `C:\WoW\_retail_\` c,No,No,Yes,No,docs_reference_only,Yes
tools\claude_sync_update.md,28,C:\Users\atayl\VoxCore\sql\updates\pending\`.,Absolute Path,VOXCORE_ROOT,High,No,No,Low,- **CRITICAL DIRECTIVE FOR YOU:** Whenever you establish that a SQL database patch is required fixin,No,No,Yes,No,docs_reference_only,Yes
tools\_optimize_db.bat,32,R:\=/%,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"set ""DATADIR=%DATADIR:\=/%""",Yes,No,No,No,runtime_defer,Yes
tools\admin_tools\inventory_voxcore.py,30,C:\Users\atayl\VoxCore,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"log_out = generate_inventory(r""C:\Users\atayl\VoxCore"")",Yes,No,No,No,runtime_defer,Yes
tools\admin_tools\inventory_voxcore.py,31,C:\Users\atayl\VoxCore\tools\voxcore_inventory.md,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"with open(r""C:\Users\atayl\VoxCore\tools\voxcore_inventory.md"", ""w"") as f:",Yes,No,No,No,runtime_defer,Yes
tools\ai_studio\ai_studio_router.py,9,C:\Users\atayl\OneDrive\Desktop\Excluded,Absolute Path,EXCLUDED_ROOT,High,Yes,No,Low,"EXCLUDED_DIR = r""C:\Users\atayl\OneDrive\Desktop\Excluded""",Yes,No,No,No,runtime_defer,Yes
tools\ai_studio\ai_studio_router.py,10,C:\Users\atayl\VoxCore\AI_Studio\1_Inbox,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"INBOX_DIR = r""C:\Users\atayl\VoxCore\AI_Studio\1_Inbox""",Yes,No,No,No,runtime_defer,Yes
tools\ai_studio\ai_studio_router.py,16,C:\Users\atayl\VoxCore\tools\ai_router_log.txt,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"with open(r""C:\Users\atayl\VoxCore\tools\ai_router_log.txt"", ""a"") as f:",Yes,No,No,No,runtime_defer,Yes
tools\ai_studio\orchestrator.py,67,n:\n\n{spec_content}\n\nBased,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"{""role"": ""user"", ""content"": f""Here is the Architect's specification:\n\n{spec_content}\n\nBased on t",Yes,No,No,No,false_positive,Yes
tools\ai_studio\orchestrator.py,100,n:\n{spec_content}\n\nModified,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"{""role"": ""user"", ""content"": f""Original Specification:\n{spec_content}\n\nModified Files:\n{file_list",Yes,No,No,No,false_positive,Yes
tools\ai_studio\orchestrator.py,100,s:\n{file_list_str}\n\nDo,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"{""role"": ""user"", ""content"": f""Original Specification:\n{spec_content}\n\nModified Files:\n{file_list",Yes,No,No,No,false_positive,Yes
tools\auto_parse\config.py,20,C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo""",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\config.py,24,C:\WoW\_retail_\Cache\ADB\enUS,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"default_factory=lambda: Path(r""C:\WoW\_retail_\Cache\ADB\enUS"")",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\config.py,27,C:\WoW\_retail_\WTF\Account\1#1\SavedVariables,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"default_factory=lambda: Path(r""C:\WoW\_retail_\WTF\Account\1#1\SavedVariables"")",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\config.py,30,C:\WoW\_retail_\Errors,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"default_factory=lambda: Path(r""C:\WoW\_retail_\Errors"")",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\config.py,33,C:\Users\atayl\VoxCore\wago,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"default_factory=lambda: Path(r""C:\Users\atayl\VoxCore\wago"")",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\config.py,36,C:\Users\atayl\VoxCore\tools,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"default_factory=lambda: Path(r""C:\Users\atayl\VoxCore\tools"")",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\config.py,40,C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"r""C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe""",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\parsers\crashes.py,20,e:\s*([A-F0-9]+)\s+(\S+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"_EXCEPTION_RE = re.compile(r""Exception code:\s*([A-F0-9]+)\s+(\S+)"")",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\parsers\crashes.py,21,s:\s*(\S+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"_FAULT_RE = re.compile(r""Fault address:\s*(\S+)"")",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\parsers\gm_log.py,14,d:\s+(.+?)\s*\[Player:\s+(\S+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"r""^(\d{4}-\d{2}-\d{2}_\d{2}:\d{2}:\d{2})\s+Command:\s+(.+?)\s*\[Player:\s+(\S+)""",Yes,No,No,No,runtime_defer,Yes
tools\auto_parse\parsers\gm_log.py,17,d:\s+(.+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"r""^(\d{4}-\d{2}-\d{2}_\d{2}:\d{2}:\d{2})\s+Command:\s+(.+)""",Yes,No,No,No,runtime_defer,Yes
tools\command-center\app.py,45,C:\Program,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"CHROME  = r""C:\Program Files\Google\Chrome\Application\chrome.exe""",Yes,No,No,No,runtime_defer,Yes
tools\command-center\app.py,141,\\build\\configure.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd"": [""cmd.exe"", ""/k"", f""{TOOLS}\\build\\configure.bat""], ""cwd"": ROOT},",Yes,No,No,No,runtime_defer,Yes
tools\command-center\app.py,144,\\build\\build.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd"": [""cmd.exe"", ""/k"", f""{TOOLS}\\build\\build.bat""], ""cwd"": ROOT},",Yes,No,No,No,runtime_defer,Yes
tools\command-center\app.py,147,\\build\\build_debug.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd"": [""cmd.exe"", ""/k"", f""{TOOLS}\\build\\build_debug.bat""], ""cwd"": ROOT},",Yes,No,No,No,runtime_defer,Yes
tools\command-center\app.py,269,\\website\\update_site.bat,Absolute Path,NETWORK_SHARE,Low,No,Yes,High,"""cmd"": [""cmd.exe"", ""/k"", f""{ROOT}\\website\\update_site.bat""],",Yes,No,No,No,runtime_defer,Yes
tools\command-center\launch.bat,2,C:\Users\atayl\VoxCore\tools\command-center,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"cd /d ""C:\Users\atayl\VoxCore\tools\command-center""",Yes,No,No,No,runtime_defer,Yes
tools\command-center\launch.bat,5,C:\Program,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"start """" ""C:\Program Files\Google\Chrome\Application\chrome.exe"" --app=http://localhost:5050",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\server_status.py,52,s:\s*(\d+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"m = re.search(r""Connected players:\s*(\d+)"", result)",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\server_status.py,54,d:\s*(\d+),Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"chars = re.search(r""Characters in world:\s*(\d+)"", result)",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,42,r:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""1. Re-run all 4 extractors in order:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,73,l:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""3. Confirm ports aren't blocked by firewall:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,85,r:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""1. The host machine needs **port forwarding** on their router for:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,109,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""5. If the data directory is corrupted, you may need to reinitialize:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,130,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""1. In the **bnetserver** console, type:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,133,l:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""3. Then set the GM level:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,151,s:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""4. Common issues:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\cogs\troubleshooter.py,167,d:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""5. If you get linker errors about unresolved symbols, clean and rebuild:\n""",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,24,r:\n1.,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**Map extraction guide:**\n\nYou need to run **4 extractors** in this order:\n1. `mapex",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,30,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**worldserver.conf tips:**\n\n- **MySQLExecutable**: Must be the full path to `mysql.ex",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,42,k:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**MySQL connection troubleshooting:**\n\n1. **Is MySQL running?** Check UniServerZ — cl",Yes,No,No,No,runtime_defer,Yes
tools\discord_bot\data\faq_responses.json,54,e:\n,Absolute Path,UNKNOWN_EXTERNAL,Low,No,Yes,High,"""response"": ""**Applying SQL updates:**\n\n1. Open **HeidiSQL** (included in most repacks) or MySQL C",Yes,No,No,No,runtime_defer,Yes
tools\log_tools\auto_parse_v2.py.bak,41,C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo,Absolute Path,VOXCORE_ROOT,High,Yes,No,Low,"RUNTIME_DIR = Path(r""C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo"")",No,No,No,No,runtime_defer,Yes
